,Program Reporting Requirements (General Teacher Preparation Policy),Provisional and Emergency Licensure (Hiring Policy),Program Entry (General Teacher Preparation Policy),Middle School Content Knowledge (Secondary Teacher Preparation Policy),Middle School Licensure Deficiencies (Secondary Teacher Preparation Policy),Secondary Content Knowledge (Secondary Teacher Preparation Policy),Secondary Licensure Deficiencies (Secondary Teacher Preparation Policy)
DE,6.0,5.0,3.0,5.0,5.0,5.0,1.0
FL,6.0,5.0,3.0,5.0,5.0,5.0,3.0
MO,6.0,1.0,2.0,5.0,5.0,3.0,5.0
NC,6.0,1.0,3.0,4.0,5.0,2.0,1.0
TN,6.0,4.0,4.0,4.0,5.0,4.0,5.0
TX,6.0,3.0,3.0,5.0,5.0,5.0,1.0
LA,5.0,1.0,3.0,5.0,5.0,3.0,1.0
RI,5.0,6.0,3.0,5.0,5.0,5.0,3.0
MA,4.0,4.0,2.0,3.0,5.0,5.0,3.0
MI,4.0,5.0,2.0,5.0,1.0,4.0,1.0
NV,4.0,4.0,2.0,5.0,1.0,3.0,3.0
OK,4.0,4.0,3.0,5.0,1.0,5.0,2.0
WA,4.0,1.0,4.0,3.0,1.0,4.0,2.0
AZ,3.0,1.0,1.0,1.0,1.0,1.0,1.0
GA,3.0,4.0,3.0,6.0,5.0,3.0,3.0
IN,3.0,1.0,3.0,5.0,5.0,6.0,4.0
KY,3.0,4.0,4.0,5.0,5.0,5.0,3.0
NJ,3.0,6.0,3.0,4.0,5.0,4.0,3.0
SC,3.0,6.0,4.0,5.0,5.0,5.0,1.0
VA,3.0,1.0,3.0,5.0,5.0,5.0,3.0
WI,3.0,1.0,3.0,1.0,1.0,5.0,1.0
AK,2.0,4.0,1.0,5.0,1.0,3.0,1.0
AR,2.0,1.0,2.0,6.0,5.0,5.0,3.0
CO,2.0,1.0,1.0,1.0,5.0,1.0,1.0
CT,2.0,4.0,3.0,5.0,5.0,5.0,3.0
ID,2.0,5.0,2.0,2.0,1.0,5.0,2.0
IL,2.0,5.0,2.0,5.0,5.0,3.0,2.0
IA,2.0,4.0,2.0,1.0,5.0,1.0,1.0
KS,2.0,4.0,2.0,5.0,5.0,5.0,3.0
MD,2.0,1.0,1.0,5.0,3.0,3.0,1.0
MN,2.0,1.0,2.0,5.0,1.0,6.0,6.0
MS,2.0,6.0,4.0,5.0,5.0,3.0,3.0
MT,2.0,1.0,3.0,5.0,1.0,3.0,1.0
NE,2.0,4.0,2.0,5.0,1.0,5.0,1.0
NH,2.0,4.0,3.0,5.0,1.0,5.0,2.0
NM,2.0,5.0,1.0,5.0,3.0,3.0,1.0
NY,2.0,5.0,3.0,4.0,5.0,5.0,3.0
ND,2.0,4.0,2.0,5.0,1.0,5.0,1.0
OH,2.0,4.0,2.0,6.0,5.0,5.0,1.0
OR,2.0,1.0,3.0,5.0,1.0,1.0,1.0
PA,2.0,1.0,3.0,5.0,5.0,5.0,3.0
SD,2.0,5.0,1.0,1.0,1.0,1.0,1.0
UT,2.0,4.0,4.0,5.0,1.0,5.0,2.0
VT,2.0,2.0,1.0,5.0,5.0,5.0,1.0
WV,2.0,4.0,3.0,5.0,5.0,5.0,3.0
WY,2.0,3.0,2.0,1.0,5.0,1.0,1.0
AL,1.0,4.0,4.0,5.0,5.0,5.0,1.0
CA,1.0,1.0,2.0,1.0,1.0,1.0,2.0
DC,1.0,4.0,1.0,4.0,5.0,3.0,1.0
HI,1.0,1.0,2.0,1.0,5.0,1.0,1.0
ME,1.0,1.0,1.0,5.0,1.0,5.0,2.0
US,2.84,3.18,2.47,4.2,3.51,3.84,2.06
