,Student Teaching/Clinical Practice (General Teacher Preparation Policy),Content Knowledge (Elementary Teacher Preparation Policy),Teaching Mathematics (Elementary Teacher Preparation Policy),Middle School Content Knowledge (Secondary Teacher Preparation Policy),Middle School Licensure Deficiencies (Secondary Teacher Preparation Policy),Secondary Content Knowledge (Secondary Teacher Preparation Policy),Secondary Licensure Deficiencies (Secondary Teacher Preparation Policy),Content Knowledge (Special Education Teacher Preparation Policy),Licensure Deficiencies (Special Education Teacher Preparation Policy),Program Entry (Alternate Routes Policy),Preparation for the Classroom (Alternate Routes Policy),Content Knowledge (Early Childhood Preparation Policy),Academic Requirements (Early Childhood Preparation Policy),Teaching Reading (Elementary Teacher Preparation Policy),Licensure Deficiencies (Elementary Teacher Preparation Policy),Teaching Reading (Special Education Teacher Preparation Policy)
RI,6.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,2.0,5.0,1.0,2.0,1.0
TN,6.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0
AZ,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0
DE,5.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,1.0
FL,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0
GA,5.0,1.0,2.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,,1.0
IL,5.0,1.0,2.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,3.0,6.0,5.0,3.0,2.0,2.0
IN,5.0,3.0,5.0,5.0,5.0,6.0,6.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0
MA,5.0,2.0,6.0,3.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0
NJ,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0,1.0,1.0,1.0
NC,5.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,,4.0
TX,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,,2.0
UT,5.0,5.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0
VA,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,5.0,5.0,4.0
WA,5.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,6.0,5.0,4.0,1.0,1.0
WV,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,1.0,2.0
MN,3.0,1.0,5.0,5.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0
NM,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,2.0
LA,2.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,4.0,2.0
MI,2.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,6.0,3.0,5.0,5.0,2.0,1.0,1.0
NY,2.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0
OR,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0
PA,2.0,1.0,2.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,,1.0
AL,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0
AK,1.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,1.0
AR,1.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,6.0,,5.0
CA,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,,,6.0,,6.0
CO,1.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0
CT,1.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,4.0
DC,1.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0
HI,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
ID,1.0,3.0,5.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,2.0,4.0
IA,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0
KS,1.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0
KY,1.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,,1.0
ME,1.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0
MD,1.0,3.0,5.0,5.0,3.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,5.0,2.0,1.0,2.0
MS,1.0,1.0,2.0,5.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,,1.0
MO,1.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,1.0,2.0
MT,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,1.0
NE,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0
NV,1.0,5.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0
NH,1.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,1.0
ND,1.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0
OH,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,,4.0
OK,1.0,2.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0
SC,1.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,1.0
SD,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0
VT,1.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,5.0,2.0,1.0,1.0
WI,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,4.0
WY,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
US,2.47,2.82,3.59,3.9,3.67,3.69,2.0,1.39,2.0,2.37,2.65,3.04,4.33,2.78,1.73,2.08
