,Teaching Reading (Elementary Teacher Preparation Policy),Licensure Deficiencies (Elementary Teacher Preparation Policy),Teaching Reading (Special Education Teacher Preparation Policy)
TX,6.0,2.0,2.0
AL,5.0,3.0,1.0
AK,5.0,,1.0
AR,5.0,,5.0
CA,5.0,,5.0
CT,5.0,3.0,5.0
FL,5.0,3.0,2.0
IN,5.0,4.0,5.0
MD,5.0,3.0,5.0
MN,5.0,3.0,5.0
MS,5.0,,1.0
NH,5.0,3.0,1.0
NM,5.0,2.0,1.0
OH,5.0,,5.0
OK,5.0,3.0,5.0
PA,5.0,,2.0
VA,5.0,6.0,5.0
WA,5.0,2.0,1.0
WV,5.0,3.0,2.0
WI,5.0,3.0,1.0
ID,4.0,2.0,4.0
MA,4.0,2.0,4.0
NC,4.0,,4.0
TN,4.0,2.0,4.0
CO,2.0,2.0,2.0
DE,2.0,2.0,1.0
DC,2.0,1.0,1.0
GA,2.0,,1.0
IL,2.0,2.0,1.0
IA,2.0,1.0,1.0
KS,2.0,1.0,2.0
KY,2.0,,1.0
LA,2.0,4.0,2.0
MI,2.0,2.0,1.0
MO,2.0,2.0,2.0
NJ,2.0,1.0,1.0
ND,2.0,1.0,1.0
OR,2.0,,1.0
RI,2.0,1.0,1.0
SC,2.0,2.0,1.0
SD,2.0,1.0,1.0
UT,2.0,2.0,1.0
VT,2.0,2.0,1.0
WY,2.0,1.0,1.0
AZ,1.0,1.0,1.0
HI,1.0,1.0,1.0
ME,1.0,,1.0
MT,1.0,1.0,1.0
NE,1.0,1.0,1.0
NV,1.0,1.0,1.0
NY,1.0,2.0,1.0
US,3.22,2.1,2.1
