,Admission into Preparation Programs  (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Reading Instruction  ( (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Mathematics  (Delivering Well Prepared Teachers Policy),Middle School Teacher Preparation  (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Science (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Social Studies  ( (Delivering Well Prepared Teachers Policy),Special Education Teacher Preparation  (Delivering Well Prepared Teachers Policy),Assessing Professional Knowledge  (Delivering Well Prepared Teachers Policy),Student Teaching  (Delivering Well Prepared Teachers Policy),Teacher Preparation Program Accountability  (Delivering Well Prepared Teachers Policy),Alternate Route Eligibility (Expanding the Pool of Teachers Policy),Alternate Route Preparation (Expanding the Pool of Teachers Policy),Alternate Route Usage and Providers (Expanding the Pool of Teachers Policy),Part Time Teaching Licenses (Expanding the Pool of Teachers Policy),Licensure Reciprocity (Expanding the Pool of Teachers Policy),State Data Systems (Identifying Effective Teachers Policy),Evaluation of Effectiveness  (Identifying Effective Teachers Policy),Frequency of Evaluations  (Identifying Effective Teachers Policy),Tenure  (Identifying Effective Teachers Policy),Licensure Advancement  (Identifying Effective Teachers Policy),Equitable Distribution (Identifying Effective Teachers Policy),Induction (Retaining Effective Teachers Policy),Professional Development (Retaining Effective Teachers Policy),Pay Scales (Retaining Effective Teachers Policy),Compensation for Prior Work Experience (Retaining Effective Teachers Policy),Differential Pay (Retaining Effective Teachers Policy),Performance Pay (Retaining Effective Teachers Policy),Pension Flexibility (Retaining Effective Teachers Policy),Pension Sustainability (Retaining Effective Teachers Policy),Pension Neutrality (Retaining Effective Teachers Policy),Licensure Loopholes (Exiting Ineffective Teachers Policy),Unsatisfactory Evaluations (Exiting Ineffective Teachers Policy),Dismissal for Poor Performance (Exiting Ineffective Teachers Policy),Reductions in Force (Exiting Ineffective Teachers Policy)
TX,5.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,0.0,3.0,0.0,4.0
CT,3.0,0.0,5.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,5.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0
GA,3.0,2.0,3.0,1.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,5.0,4.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0
HI,3.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0
IN,3.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,4.0,4.0,5.0
LA,3.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,3.0,2.0,4.0,2.0,0.0,4.0,3.0,2.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,0.0,4.0,1.0,0.0
MS,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0
NC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,4.0,4.0,0.0,5.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0
RI,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,3.0
SC,3.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,0.0,0.0
TN,3.0,1.0,4.0,1.0,3.0,5.0,2.0,2.0,0.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,1.0,5.0,2.0,0.0,2.0,3.0,3.0
WV,3.0,1.0,2.0,0.0,2.0,4.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0
AR,2.0,1.0,2.0,0.0,5.0,4.0,3.0,2.0,2.0,4.0,2.0,0.0,3.0,4.0,4.0,5.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0
IL,2.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0,1.0,4.0,0.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,5.0,3.0,4.0
IA,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
MO,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0
NE,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
WA,2.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,2.0,3.0,3.0,0.0,4.0,0.0,0.0
FL,1.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,0.0,1.0,1.0,3.0,5.0,0.0,4.0,5.0,2.0,4.0,2.0,0.0,4.0,4.0,5.0
WI,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0
AL,0.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,5.0,4.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0
AK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0
AZ,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0
CA,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
CO,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,4.0,3.0,5.0
DE,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,2.0,0.0
DC,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0
ID,0.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0
KS,0.0,1.0,0.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,1.0,4.0,4.0,4.0,2.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0
MD,0.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,4.0,0.0,1.0,4.0,4.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
MA,0.0,3.0,5.0,5.0,2.0,4.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0
MI,0.0,2.0,2.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,0.0,0.0,2.0,4.0,2.0,5.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0
MN,0.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,0.0,4.0,2.0,0.0,4.0,1.0,3.0,0.0,2.0,4.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0
MT,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0
NH,0.0,3.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
NJ,0.0,1.0,0.0,0.0,4.0,4.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0
NM,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,0.0
NY,0.0,1.0,1.0,1.0,3.0,4.0,3.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0
ND,0.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0
OH,0.0,0.0,2.0,0.0,3.0,4.0,3.0,2.0,0.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,3.0
OK,0.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,5.0,5.0,4.0
OR,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0
PA,0.0,0.0,4.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
SD,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0
UT,0.0,1.0,0.0,2.0,1.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,4.0
VT,0.0,0.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
VA,0.0,1.0,5.0,1.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0
WY,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0
US,1.02,0.9,1.57,0.94,1.96,2.78,2.0,1.65,0.67,2.14,1.14,1.02,1.88,1.61,2.63,0.82,1.18,3.33,1.73,1.86,0.84,0.41,0.94,2.2,1.82,1.53,0.33,1.73,1.61,1.51,1.63,1.84,1.59,2.02,1.0,1.16
