,Admission into Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Reading Instruction  ( (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Mathematics  (Delivering Well Prepared Teachers Policy),Early Childhood (Delivering Well Prepared Teachers Policy),Middle School Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Science and Social Studies  ( (Delivering Well Prepared Teachers Policy),Special Education Teacher Preparation (Delivering Well Prepared Teachers Policy),Special Education Preparation in Reading (Delivering Well Prepared Teachers Policy),Assessing Professional Knowledge (Delivering Well Prepared Teachers Policy),Student Teaching (Delivering Well Prepared Teachers Policy),Teacher Preparation Program Accountability (Delivering Well Prepared Teachers Policy),Alternate Route Eligibility (Expanding the Pool of Teachers Policy),Alternate Route Preparation (Expanding the Pool of Teachers Policy),Alternate Route Usage and Providers (Expanding the Pool of Teachers Policy),Part-Time Teaching Licenses (Expanding the Pool of Teachers Policy),Licensure Reciprocity (Expanding the Pool of Teachers Policy),State Data Systems (Identifying Effective Teachers Policy),Evaluation of Effectiveness (Identifying Effective Teachers Policy),Frequency of Evaluations (Identifying Effective Teachers Policy),Tenure (Identifying Effective Teachers Policy),Licensure Advancement (Identifying Effective Teachers Policy),Equitable Distribution (Identifying Effective Teachers Policy),New Teacher Induction (Retaining Effective Teachers Policy),Professional Development (Retaining Effective Teachers Policy),Pay Scales and Performance Pay (Retaining Effective Teachers Policy),Differential Pay (Retaining Effective Teachers Policy),Compensation for Prior Work Experience (Retaining Effective Teachers Policy),Extended Emergency Licenses (Exiting Ineffective Teachers Policy),Dismissal for Poor Performance (Exiting Ineffective Teachers Policy),Reductions in Force (Exiting Ineffective Teachers Policy),Pension Flexibility (Pensions Policy),Pension Sustainability (Pensions Policy),Pension Neutrality (Pensions Policy),Pension Transparency (Pensions Policy)
DE,5.0,3.0,1.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0
RI,5.0,3.0,0.0,4.0,1.0,3.0,3.0,2.0,4.0,0.0,4.0,5.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,0.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,2.0,4.0,1.0
WV,5.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0
AL,4.0,3.0,3.0,4.0,2.0,3.0,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0
AR,4.0,3.0,2.0,4.0,,5.0,5.0,1.0,0.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,4.0,4.0,4.0,2.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0
DC,4.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0
GA,4.0,1.0,1.0,1.0,,4.0,3.0,2.0,1.0,0.0,4.0,4.0,3.0,1.0,4.0,4.0,5.0,0.0,3.0,4.0,3.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0
HI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,3.0,0.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0
IN,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,,4.0,4.0,2.0,2.0,2.0,0.0
LA,4.0,3.0,1.0,4.0,2.0,3.0,2.0,0.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,3.0,4.0,5.0,4.0,0.0,5.0,3.0,5.0,3.0,0.0,2.0,4.0,1.0,1.0,3.0,1.0
