,Program Reporting Requirements (General Teacher Preparation Policy),Provisional and Emergency Licensure (Hiring Policy),Program Entry (General Teacher Preparation Policy),Middle School Content Knowledge (Secondary Teacher Preparation Policy),Middle School Licensure Deficiencies (Secondary Teacher Preparation Policy),Secondary Content Knowledge (Secondary Teacher Preparation Policy),Secondary Licensure Deficiencies (Secondary Teacher Preparation Policy)
DE,5.0,4.0,2.0,4.0,4.0,4.0,0.0
FL,5.0,4.0,2.0,4.0,4.0,4.0,2.0
MO,5.0,0.0,1.0,4.0,4.0,2.0,4.0
NC,5.0,0.0,2.0,3.0,4.0,1.0,0.0
TN,5.0,3.0,3.0,3.0,4.0,3.0,4.0
TX,5.0,2.0,2.0,4.0,4.0,4.0,0.0
LA,4.0,0.0,2.0,4.0,4.0,2.0,0.0
RI,4.0,5.0,2.0,4.0,4.0,4.0,2.0
MA,3.0,3.0,1.0,2.0,4.0,4.0,2.0
MI,3.0,4.0,1.0,4.0,0.0,3.0,0.0
NV,3.0,3.0,1.0,4.0,0.0,2.0,2.0
OK,3.0,3.0,2.0,4.0,0.0,4.0,1.0
WA,3.0,0.0,3.0,2.0,0.0,3.0,1.0
AZ,2.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,2.0,3.0,2.0,5.0,4.0,2.0,2.0
IN,2.0,0.0,2.0,4.0,4.0,5.0,3.0
KY,2.0,3.0,3.0,4.0,4.0,4.0,2.0
NJ,2.0,5.0,2.0,3.0,4.0,3.0,2.0
SC,2.0,5.0,3.0,4.0,4.0,4.0,0.0
VA,2.0,0.0,2.0,4.0,4.0,4.0,2.0
WI,2.0,0.0,2.0,0.0,0.0,4.0,0.0
AK,1.0,3.0,0.0,4.0,0.0,2.0,0.0
AR,1.0,0.0,1.0,5.0,4.0,4.0,2.0
CO,1.0,0.0,0.0,0.0,4.0,0.0,0.0
CT,1.0,3.0,2.0,4.0,4.0,4.0,2.0
ID,1.0,4.0,1.0,1.0,0.0,4.0,1.0
IL,1.0,4.0,1.0,4.0,4.0,2.0,1.0
IA,1.0,3.0,1.0,0.0,4.0,0.0,0.0
KS,1.0,3.0,1.0,4.0,4.0,4.0,2.0
MD,1.0,0.0,0.0,4.0,2.0,2.0,0.0
MN,1.0,0.0,1.0,4.0,0.0,5.0,5.0
MS,1.0,5.0,3.0,4.0,4.0,2.0,2.0
MT,1.0,0.0,2.0,4.0,0.0,2.0,0.0
NE,1.0,3.0,1.0,4.0,0.0,4.0,0.0
NH,1.0,3.0,2.0,4.0,0.0,4.0,1.0
NM,1.0,4.0,0.0,4.0,2.0,2.0,0.0
NY,1.0,4.0,2.0,3.0,4.0,4.0,2.0
ND,1.0,3.0,1.0,4.0,0.0,4.0,0.0
OH,1.0,3.0,1.0,5.0,4.0,4.0,0.0
OR,1.0,0.0,2.0,4.0,0.0,0.0,0.0
PA,1.0,0.0,2.0,4.0,4.0,4.0,2.0
SD,1.0,4.0,0.0,0.0,0.0,0.0,0.0
UT,1.0,3.0,3.0,4.0,0.0,4.0,1.0
VT,1.0,1.0,0.0,4.0,4.0,4.0,0.0
WV,1.0,3.0,2.0,4.0,4.0,4.0,2.0
WY,1.0,2.0,1.0,0.0,4.0,0.0,0.0
AL,0.0,3.0,3.0,4.0,4.0,4.0,0.0
CA,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DC,0.0,3.0,0.0,3.0,4.0,2.0,0.0
HI,0.0,0.0,1.0,0.0,4.0,0.0,0.0
ME,0.0,0.0,0.0,4.0,0.0,4.0,1.0
US,1.84,2.18,1.47,3.2,2.51,2.84,1.06
