,Program Performance Measures (General Teacher Preparation Policy),Requirements for Out-of-State Teachers (Hiring Policy),Measures of Student Growth (Teacher and Principal Evaluation Policy),Measures of Professional Practice (Teacher and Principal Evaluation Policy),Frequency of Evaluation and Observation (Teacher and Principal Evaluation Policy),Linking Evaluation to Professional Growth (Teacher and Principal Evaluation Policy),Principal Effectiveness (Teacher and Principal Evaluation Policy),Principal Evaluation and Observation (Teacher and Principal Evaluation Policy),Leadership Opportunities (Retaining Effective Teachers Policy),Content Knowledge (Elementary Teacher Preparation Policy),Teaching Mathematics (Elementary Teacher Preparation Policy),Content Knowledge (Special Education Teacher Preparation Policy)
AL,5.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,4.0,2.0
FL,5.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,0.0,3.0,4.0,0.0
DE,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
IN,4.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0,4.0,0.0
LA,4.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0
MA,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,5.0,2.0
NJ,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0
NC,4.0,3.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0
OH,4.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
RI,4.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,0.0,3.0,4.0,4.0
TN,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,0.0
CO,3.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0
CT,3.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,0.0
IL,3.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0
MI,3.0,0.0,4.0,2.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,1.0
NM,3.0,2.0,0.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0,0.0
TX,3.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,4.0,0.0
VA,3.0,2.0,4.0,2.0,1.0,4.0,3.0,0.0,2.0,3.0,4.0,0.0
WA,3.0,2.0,4.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0
AR,2.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,4.0,3.0,4.0,1.0
DC,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
GA,2.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0
IA,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0
KY,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0
ME,2.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0
MN,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0
MO,2.0,2.0,4.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,4.0,3.0
