,Student Teaching/Clinical Practice  (General Teacher Preparation Policy),Content Knowledge (Elementary Teacher Preparation Policy),Teaching Mathematics (Elementary Teacher Preparation Policy),Middle School Content Knowledge (Secondary Teacher Preparation Policy),Middle School Licensure Deficiencies (Secondary Teacher Preparation Policy),Secondary Content Knowledge (Secondary Teacher Preparation Policy),Secondary Licensure Deficiencies (Secondary Teacher Preparation Policy),Content Knowledge (Special Education Teacher Preparation Policy),Licensure Deficiencies (Special Education Teacher Preparation Policy),Program Entry (Alternate Routes Policy),Preparation for the Classroom (Alternate Routes Policy),Content Knowledge (Early Childhood Preparation Policy),Academic Requirements (Early Childhood Preparation Policy),Teaching Reading (Elementary Teacher Preparation Policy),Licensure Deficiencies (Elementary Teacher Preparation Policy),Teaching Reading (Special Education Teacher Preparation Policy)
RI,5.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,2.0,1.0,4.0,0.0,1.0,0.0
TN,5.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0
AZ,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
DE,4.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0
FL,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0
GA,4.0,0.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,,0.0
IL,4.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,5.0,4.0,2.0,1.0,1.0
IN,4.0,2.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0
MA,4.0,1.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0
NJ,4.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0
NC,4.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0,,3.0
TX,4.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,,1.0
UT,4.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,,,1.0,0.0,0.0
VA,4.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0
WA,4.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,3.0,0.0,0.0
WV,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,1.0,3.0,0.0,4.0,2.0,0.0,1.0
MN,2.0,0.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0,5.0,4.0,4.0,1.0,3.0
NM,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0
LA,1.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,3.0,4.0,0.0,4.0,2.0,3.0,1.0
MI,1.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,1.0,0.0,0.0
NY,1.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0
OR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0
PA,1.0,0.0,1.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,,0.0
AL,0.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0
AK,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0
AR,0.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,,4.0
CA,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,,,5.0,,5.0
CO,0.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0
CT,0.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0
DC,0.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0.0,2.0,4.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,3.0,1.0,3.0
IA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0
KS,0.0,2.0,4.0,4.0,4.0,4.0,2.0,0.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0
KY,0.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,,0.0
ME,0.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0
MD,0.0,2.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0
MS,0.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0,,0.0
