,Teaching Reading (Elementary Teacher Preparation Policy),Licensure Deficiencies (Elementary Teacher Preparation Policy),Teaching Reading (Special Education Teacher Preparation Policy)
TX,5.0,1.0,1.0
AL,4.0,2.0,0.0
AK,4.0,,0.0
AR,4.0,,4.0
CA,4.0,,4.0
CT,4.0,2.0,4.0
FL,4.0,2.0,1.0
IN,4.0,3.0,4.0
MD,4.0,2.0,4.0
MN,4.0,2.0,4.0
MS,4.0,,0.0
NH,4.0,2.0,0.0
NM,4.0,1.0,0.0
OH,4.0,,4.0
OK,4.0,2.0,4.0
PA,4.0,,1.0
VA,4.0,5.0,4.0
WA,4.0,1.0,0.0
WV,4.0,2.0,1.0
WI,4.0,2.0,0.0
ID,3.0,1.0,3.0
MA,3.0,1.0,3.0
NC,3.0,,3.0
TN,3.0,1.0,3.0
CO,1.0,1.0,1.0
DE,1.0,1.0,0.0
DC,1.0,0.0,0.0
GA,1.0,,0.0
IL,1.0,1.0,0.0
IA,1.0,0.0,0.0
KS,1.0,0.0,1.0
KY,1.0,,0.0
LA,1.0,3.0,1.0
MI,1.0,1.0,0.0
MO,1.0,1.0,1.0
NJ,1.0,0.0,0.0
ND,1.0,0.0,0.0
OR,1.0,,0.0
RI,1.0,0.0,0.0
SC,1.0,1.0,0.0
SD,1.0,0.0,0.0
UT,1.0,1.0,0.0
VT,1.0,1.0,0.0
WY,1.0,0.0,0.0
AZ,0.0,0.0,0.0
HI,0.0,0.0,0.0
ME,0.0,,0.0
MT,0.0,0.0,0.0
NE,0.0,0.0,0.0
NV,0.0,0.0,0.0
NY,0.0,1.0,0.0
US,2.22,1.1,1.1
