,2007 Average Daily Attendance %,2011 Average Daily Attendance %,Trend: Average Daily Attendance %,2004 Students Enrolled in Gifted Programs %,2006 Students Enrolled in Gifted Programs %,2011 Students Enrolled in Gifted Programs %,2013 Students Enrolled in Gifted Programs %,Trend: Students Enrolled in Gifted Programs %,2018 Percentage of HS Drop Outs Age 16-24,2019 8th Grade Reading Scores,2007 Average Base Teacher Salary w/ Bachelors,2011 Average Base Teacher Salary w/ Bachelors,2017 Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Bachelors,2007 Average Base Teacher Salary w/ Masters Constant Dollars,2011 Average Base Teacher Salary w/ Masters Constant Dollars,2017 Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,2005 Teacher Percentage of School Staff,2010 Teacher Percentage of School Staff,2015 Teacher Percentage of School Staff,2018 Teacher Percentage of School Staff,Trend: Teacher Percentage of School Staff,2018 Number of Education Agencies,2006 Average Freshman Graduation Rate,2007 Average Freshman Graduation Rate,2008 Average Freshman Graduation Rate,2009 Average Freshman Graduation Rate,2010 Average Freshman Graduation Rate,2011 Average Freshman Graduation Rate,2012 Average Freshman Graduation Rate,Trend: Average Freshman Graduation Rate,2005 4th Grade Reading Scores,2007 4th Grade Reading Scores,2009 4th Grade Reading Scores,2011 4th Grade Reading Scores,2013 4th Grade Reading Scores,2015 4th Grade Reading Scores,2017 4th Grade Reading Scores,2019 4th Grade Reading Scores,Trend: 4th Grade Reading Scores,2005 8th Grade Math Scores,2007 8th Grade Math Scores,2009 8th Grade Math Scores,2011 8th Grade Math Scores,2013 8th Grade Math Scores,2015 8th Grade Math Scores,2017 8th Grade Math Scores,2019 8th Grade Math Scores,Trend: 8th Grade Math Scores,2005 4th Grade Math Scores,2007 4th Grade Math Scores,2009 4th Grade Math Scores,2011 4th Grade Math Scores,2013 4th Grade Math Scores,2015 4th Grade Math Scores,2017 4th Grade Math Scores,2019 4th Grade Math Scores,Trend: 4th Grade Math Scores,1979 Overall Average Teacher Salary,1989 Overall Average Teacher Salary,1999 Overall Average Teacher Salary,2009 Overall Average Teacher Salary,2017 Overall Average Teacher Salary,2018 Overall Average Teacher Salary,Trend: Overall Average Teacher Salary,2000 % of Public Schools That Are Charters,2010 % of Public Schools That Are Charters,2016 % of Public Schools That Are Charters,2017 % of Public Schools That Are Charters,2018 % of Public Schools That Are Charters,Trend: % of Public Schools That Are Charters,2010 Adjusted Cohort Graduation Rate,2011 Adjusted Cohort Graduation Rate,2012 Adjusted Cohort Graduation Rate,2013 Adjusted Cohort Graduation Rate,2014 Adjusted Cohort Graduation Rate,2015 Adjusted Cohort Graduation Rate,2016 Adjusted Cohort Graduation Rate,2017 Adjusted Cohort Graduation Rate,Trend: Adjusted Cohort Graduation Rate
US,78.462,56.0,0.8,39.33449019607844,34.046313725490194,34.73205882352941,36.00592156862744,-0.0507843137254902,58.491,40.0,46.304,42.271,36.937,-650.0,54.427,50.722,57.425,35.0,28.986,43.62,32.904,31.397,-0.96,100.0,57.434,55.655,55.814,60.714,54.856,64.157,55.814,1.439,65.0,58.974,56.25,52.778,57.692,50.0,48.276,48.387,0.274,70.213,64.0,62.222,58.974,52.778,52.941,51.613,48.0,0.345,72.222,65.789,60.606,58.065,50.0,45.0,50.0,50.0,0.298,26.823,46.068,55.509,50.411,39.569,40.074,1365.714,11.538,12.471,14.402,14.718,15.0,1.28,68.966,70.0,67.857,70.0,63.636,68.182,70.0,72.727,0.917
AL,83.846,66.0,0.6,30.303,31.169,52.866,51.592,1.37,41.509,10.0,28.383,22.608,18.468,-1335.0,26.48,31.683,27.134,-865.0,44.928,49.258,46.691,43.739,0.32,0.956,37.609,38.69,39.535,41.667,45.669,46.988,25.969,1.418,42.5,48.718,43.75,52.778,50.0,35.714,31.034,25.806,0.357,36.17,36.0,33.333,23.077,11.111,11.765,6.452,0.0,0.631,38.889,39.474,27.273,29.032,16.667,0.0,15.0,0.0,0.726,7.879,16.144,33.202,26.633,14.356,12.988,1371.314,0.0,0.0,0.203,0.202,0.2,0.03,44.828,53.333,64.286,83.333,90.909,81.818,90.0,95.455,2.619
AK,53.846,6.0,1.5,25.0,22.078,29.299,29.299,0.3,67.925,6.667,79.784,88.15,72.408,805.0,73.467,50.722,86.285,2315.0,2.899,29.08,26.838,24.864,0.28,0.29,43.149,38.988,47.384,52.679,50.394,57.53,48.062,2.036,50.0,43.59,28.125,19.444,11.538,21.429,0.0,0.0,-0.917,72.34,70.0,64.444,58.974,47.222,50.0,35.484,20.0,-0.893,69.444,60.526,54.545,45.161,29.167,25.0,5.0,10.0,-0.786,100.0,100.0,75.797,63.528,62.991,61.275,-3916.657,20.33,12.471,11.156,11.492,11.0,0.4,31.034,36.667,35.714,33.333,31.818,31.818,35.0,45.455,1.595
AZ,46.923,12.0,2.7,38.636,36.364,36.306,28.662,-0.38,13.207999999999998,30.0,18.967,7.713,7.52,-1920.0,9.093,10.581,15.614,60.0,28.986,48.961,27.574,27.405,-2.09,3.821,44.898,43.75,47.093,50.298,53.018,53.614,34.884,1.439,40.0,33.333,25.0,30.556,26.923,28.571,27.586,38.71,1.238,61.702,56.0,51.111,48.718,41.667,58.824,51.613,44.0,1.083,52.778,47.368,33.333,41.935,45.833,35.0,25.0,40.0,1.131,20.86,37.074,34.132,24.744,9.662,10.711,-662.286,100.0,53.882,48.276,48.185,47.6,1.22,65.517,56.667,46.429,50.0,36.364,50.0,35.0,45.455,0.393
AR,68.462,62.0,2.4,68.939,57.143,61.783,60.51,0.0,49.057,30.0,32.467,25.621,23.528,-1025.0,22.587,19.393,26.196,-325.0,12.319,36.202,31.434,34.12,1.04,1.596,58.892,60.714,51.453,51.19,48.031,56.024,48.837,0.839,65.0,51.282,43.75,44.444,50.0,39.286,31.034,35.484,-0.131,57.447,52.0,48.889,48.718,36.111,35.294,25.806,20.0,0.119,69.444,63.158,57.576,51.613,45.833,20.0,25.0,15.0,-0.571,2.924,4.813,18.808,23.977,14.294,13.506,2289.171,1.648,8.471,13.996,15.323,15.8,1.92,75.862,83.333,82.143,86.667,72.727,81.818,85.0,90.909,0.952
CA,79.231,40.0,-0.1,57.576,49.351,51.592,47.771,-0.19,71.69800000000001,30.0,100.0,100.0,100.0,2800.0,84.133,80.371,99.112,2915.0,36.594,41.246,25.919,24.138,-3.09,6.313,48.105,45.238,42.733,60.714,55.118,66.867,62.403,2.443,40.0,30.769,25.0,27.778,26.923,21.429,27.586,38.71,1.238,51.064,44.0,35.556,33.333,30.556,35.294,35.484,28.0,1.214,52.778,42.105,39.394,38.71,20.833,5.0,15.0,25.0,0.536,40.17,76.411,81.105,89.539,90.976,91.053,4157.657,18.681,21.176,24.544,24.798,26.0,2.25,58.621,66.667,64.286,66.667,59.091,63.636,60.0,63.636,0.94
CO,84.615,40.0,-0.8,44.697,39.61,40.764,47.134,0.27,60.377,56.667,23.861,21.715,19.602,-460.0,39.387,32.125,39.862,-705.0,21.377,37.389,27.206,27.223,-1.12,1.47,65.306,57.738,61.919,65.476,61.155,68.675,61.24,1.368,82.5,69.231,75.0,61.111,80.769,60.714,62.069,67.742,0.119,76.596,76.0,73.333,82.051,69.444,67.647,64.516,64.0,0.274,77.778,68.421,72.727,70.968,75.0,55.0,60.0,60.0,0.31,28.354,43.28,39.626,31.606,19.783,19.167,-574.314,25.824,22.118,25.558,26.613,26.6,2.1,51.724,53.333,53.571,53.333,36.364,45.455,40.0,54.545,0.893
CT,38.462,76.0,7.0,16.667,20.13,14.013,12.102,-0.39,92.453,66.667,70.739,67.891,68.869,1505.0,81.787,72.207,85.372,570.0,13.043,32.047,24.081,24.682,-0.84,1.115,80.466,77.976,55.523,51.488,68.241,80.12,77.132,1.211,87.5,76.923,84.375,72.222,92.308,78.571,72.414,64.516,-0.071,76.596,68.0,77.778,69.231,55.556,61.765,58.065,68.0,0.333,86.111,76.316,78.788,64.516,58.333,45.0,50.0,65.0,-0.321,28.509,87.682,98.975,77.793,75.294,76.624,2897.143,7.143,3.765,3.854,4.637,4.6,0.27,82.759,86.667,85.714,86.667,81.818,81.818,85.0,86.364,0.631
DE,53.077,48.0,3.7,28.788,31.818,12.102,12.739,-1.05,60.377,33.333,55.282,44.687,36.605,-2040.0,54.133,51.724,58.584,325.0,30.435,56.083,38.419,35.935,-0.45,0.246,51.603,47.917,50.581,52.679,45.669,53.012,36.822,0.989,87.5,71.795,75.0,66.667,76.923,60.714,48.276,45.161,-0.964,76.596,70.0,66.667,58.974,47.222,50.0,38.71,32.0,-0.786,80.556,73.684,60.606,58.065,58.333,40.0,35.0,45.0,-0.405,27.982,55.265,66.964,55.624,42.924,41.508,1081.771,20.33,20.941,23.935,21.371,20.4,1.47,65.517,70.0,64.286,86.667,77.273,77.273,80.0,81.818,1.369
DC,63.846,56.0,2.7,30.303,31.169,0.0,51.592,0.54,90.566,0.0,92.035,42.271,36.937,-7425.0,54.427,50.722,57.425,35.0,3.623,49.852,30.515,28.312,0.29,0.339,1.749,0.0,17.733,6.25,16.273,34.036,39.535,3.6,0.0,0.0,0.0,0.0,0.0,17.857,20.69,32.258,3.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.452,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,3.524,23.236215686274505,37.9961568627451,44.369196078431365,40.68790196078433,30.719921568627452,31.347882352941188,1119.9826274509805,91.758,100.0,100.0,100.0,100.0,7.37,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.012
