,Trend: Average Daily Attendance %,Trend: Students Enrolled in Gifted Programs %,Trend: Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Teacher Percentage of School Staff,Trend: Average Freshman Graduation Rate,Trend: 4th Grade Reading Scores,Trend: 8th Grade Math Scores,Trend: 4th Grade Math Scores,Trend: Overall Average Teacher Salary,Trend: % of Public Schools That Are Charters,Trend: Adjusted Cohort Graduation Rate
US,0.8,-0.0507843137254902,-650.0,35.0,-0.96,1.439,0.274,0.345,0.298,1365.714,1.28,0.917
AL,0.6,1.37,-1335.0,-865.0,0.32,1.418,0.357,0.631,0.726,1371.314,0.03,2.619
AK,1.5,0.3,805.0,2315.0,0.28,2.036,-0.917,-0.893,-0.786,-3916.657,0.4,1.595
AZ,2.7,-0.38,-1920.0,60.0,-2.09,1.439,1.238,1.083,1.131,-662.286,1.22,0.393
AR,2.4,0.0,-1025.0,-325.0,1.04,0.839,-0.131,0.119,-0.571,2289.171,1.92,0.952
CA,-0.1,-0.19,2800.0,2915.0,-3.09,2.443,1.238,1.214,0.536,4157.657,2.25,0.94
CO,-0.8,0.27,-460.0,-705.0,-1.12,1.368,0.119,0.274,0.31,-574.314,2.1,0.893
CT,7.0,-0.39,1505.0,570.0,-0.84,1.211,-0.071,0.333,-0.321,2897.143,0.27,0.631
DE,3.7,-1.05,-2040.0,325.0,-0.45,0.989,-0.964,-0.786,-0.405,1081.771,1.47,1.369
DC,2.7,0.54,-7425.0,35.0,0.29,3.6,3.286,3.452,3.524,1119.9826274509803,7.37,2.012
FL,0.5,0.46,-1780.0,-6810.0,-0.53,1.825,0.798,0.429,0.881,-400.914,2.64,1.869
GA,1.0,1.31,-2040.0,-90.0,0.21,1.05,0.548,0.988,0.417,1866.0,0.57,2.226
HI,3.2,-1.29,-840.0,-2680.0,-0.35,0.357,1.0,1.44,1.107,-1059.514,2.16,0.571
ID,1.7,-0.21,-2020.0,985.0,0.48,0.546,0.095,0.298,-0.119,1160.629,1.69,0.155
