,2007 Average Daily Attendance %,2011 Average Daily Attendance %,Trend: Average Daily Attendance %,2004 Students Enrolled in Gifted Programs %,2006 Students Enrolled in Gifted Programs %,2011 Students Enrolled in Gifted Programs %,2013 Students Enrolled in Gifted Programs %,Trend: Students Enrolled in Gifted Programs %,2018 Percentage of HS Drop Outs Age 16-24,2019 8th Grade Reading Scores,2007 Average Base Teacher Salary w/ Bachelors,2011 Average Base Teacher Salary w/ Bachelors,2017 Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Bachelors,2007 Average Base Teacher Salary w/ Masters Constant Dollars,2011 Average Base Teacher Salary w/ Masters Constant Dollars,2017 Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,2005 Teacher Percentage of School Staff,2010 Teacher Percentage of School Staff,2015 Teacher Percentage of School Staff,2018 Teacher Percentage of School Staff,Trend: Teacher Percentage of School Staff,2018 Number of Education Agencies,2006 Average Freshman Graduation Rate,2007 Average Freshman Graduation Rate,2008 Average Freshman Graduation Rate,2009 Average Freshman Graduation Rate,2010 Average Freshman Graduation Rate,2011 Average Freshman Graduation Rate,2012 Average Freshman Graduation Rate,Trend: Average Freshman Graduation Rate,2005 4th Grade Reading Scores,2007 4th Grade Reading Scores,2009 4th Grade Reading Scores,2011 4th Grade Reading Scores,2013 4th Grade Reading Scores,2015 4th Grade Reading Scores,2017 4th Grade Reading Scores,2019 4th Grade Reading Scores,Trend: 4th Grade Reading Scores,2005 8th Grade Math Scores,2007 8th Grade Math Scores,2009 8th Grade Math Scores,2011 8th Grade Math Scores,2013 8th Grade Math Scores,2015 8th Grade Math Scores,2017 8th Grade Math Scores,2019 8th Grade Math Scores,Trend: 8th Grade Math Scores,2005 4th Grade Math Scores,2007 4th Grade Math Scores,2009 4th Grade Math Scores,2011 4th Grade Math Scores,2013 4th Grade Math Scores,2015 4th Grade Math Scores,2017 4th Grade Math Scores,2019 4th Grade Math Scores,Trend: 4th Grade Math Scores,1979 Overall Average Teacher Salary,1989 Overall Average Teacher Salary,1999 Overall Average Teacher Salary,2009 Overall Average Teacher Salary,2017 Overall Average Teacher Salary,2018 Overall Average Teacher Salary,Trend: Overall Average Teacher Salary,2000 % of Public Schools That Are Charters,2010 % of Public Schools That Are Charters,2016 % of Public Schools That Are Charters,2017 % of Public Schools That Are Charters,2018 % of Public Schools That Are Charters,Trend: % of Public Schools That Are Charters,2010 Adjusted Cohort Graduation Rate,2011 Adjusted Cohort Graduation Rate,2012 Adjusted Cohort Graduation Rate,2013 Adjusted Cohort Graduation Rate,2014 Adjusted Cohort Graduation Rate,2015 Adjusted Cohort Graduation Rate,2016 Adjusted Cohort Graduation Rate,2017 Adjusted Cohort Graduation Rate,Trend: Adjusted Cohort Graduation Rate
US,78.462,56.0,0.859,42.129,36.244,34.732,35.787,-0.669,58.491,40.0,46.304,42.271,36.937,-1.253,54.427,50.722,57.425,0.671,28.986,43.62,32.904,31.397,-1.987,100.0,57.434,55.655,55.814,60.714,54.856,64.157,55.814,1.731,65.0,58.974,56.25,52.778,57.692,50.0,48.276,48.387,0.133,70.213,64.0,62.222,58.974,52.778,52.941,51.613,48.0,0.155,72.222,65.789,60.606,58.065,50.0,45.0,50.0,50.0,0.181,26.823,46.068,55.509,50.411,39.569,40.074,3.782,11.538,12.471,14.402,14.718,15.0,47.975,68.966,70.0,67.857,70.0,63.636,68.182,70.0,72.727,1.052
AL,83.846,66.0,0.64,34.286,34.161,52.866,52.201,22.437,41.509,10.0,28.383,22.608,18.468,-2.887,26.48,31.683,27.134,-1.557,44.928,49.258,46.691,43.739,-0.117,0.956,37.609,38.69,39.535,41.667,45.669,46.988,25.969,1.722,42.5,48.718,43.75,52.778,50.0,35.714,31.034,25.806,0.288,36.17,36.0,33.333,23.077,11.111,11.765,6.452,0.0,0.38,38.889,39.474,27.273,29.032,16.667,0.0,15.0,0.0,0.319,7.879,16.144,33.202,26.633,14.356,12.988,3.927,0.0,0.0,0.203,0.202,0.2,0.0,44.828,53.333,64.286,83.333,90.909,81.818,90.0,95.455,3.285
AK,53.846,6.0,1.669,29.286,25.466,29.299,30.189,6.296,67.925,6.667,79.784,88.15,72.408,1.364,73.467,50.722,86.285,6.351,2.899,29.08,26.838,24.864,0.483,0.29,43.149,38.988,47.384,52.679,50.394,57.53,48.062,2.489,50.0,43.59,28.125,19.444,11.538,21.429,0.0,0.0,-0.468,72.34,70.0,64.444,58.974,47.222,50.0,35.484,20.0,-0.255,69.444,60.526,54.545,45.161,29.167,25.0,5.0,10.0,-0.239,100.0,100.0,75.797,63.528,62.991,61.275,-4.231,20.33,12.471,11.156,11.492,11.0,11.786,31.034,36.667,35.714,33.333,31.818,31.818,35.0,45.455,2.195
AZ,46.923,12.0,3.034,42.143,39.13,36.306,29.56,-6.133,13.208,30.0,18.967,7.713,7.52,-4.422,9.093,10.581,15.614,0.406,28.986,48.961,27.574,27.405,-3.372,3.821,44.898,43.75,47.093,50.298,53.018,53.614,34.884,1.62,40.0,33.333,25.0,30.556,26.923,28.571,27.586,38.71,0.611,61.702,56.0,51.111,48.718,41.667,58.824,51.613,44.0,0.312,52.778,47.368,33.333,41.935,45.833,35.0,25.0,40.0,0.501,20.86,37.074,34.132,24.744,9.662,10.711,0.779,100.0,53.882,48.276,48.185,47.6,7.439,65.517,56.667,46.429,50.0,36.364,50.0,35.0,45.455,0.207
AR,68.462,62.0,2.614,70.714,59.006,61.783,61.006,-0.294,49.057,30.0,32.467,25.621,23.528,-2.147,22.587,19.393,26.196,-0.095,12.319,36.202,31.434,34.12,2.166,1.596,58.892,60.714,51.453,51.19,48.031,56.024,48.837,1.259,65.0,51.282,43.75,44.444,50.0,39.286,31.034,35.484,-0.13,57.447,52.0,48.889,48.718,36.111,35.294,25.806,20.0,0.107,69.444,63.158,57.576,51.613,45.833,20.0,25.0,15.0,-0.178,2.924,4.813,18.808,23.977,14.294,13.506,5.167,1.648,8.471,13.996,15.323,15.8,301.44,75.862,83.333,82.143,86.667,72.727,81.818,85.0,90.909,1.37
CA,79.231,40.0,-0.107,60.0,51.553,51.592,48.428,-2.424,71.698,30.0,100.0,100.0,100.0,4.065,84.133,80.371,99.112,4.903,36.594,41.246,25.919,24.138,-6.011,6.313,48.105,45.238,42.733,60.714,55.118,66.867,62.403,2.887,40.0,30.769,25.0,27.778,26.923,21.429,27.586,38.71,0.61,51.064,44.0,35.556,33.333,30.556,35.294,35.484,28.0,0.369,52.778,42.105,39.394,38.71,20.833,5.0,15.0,25.0,0.31,40.17,76.411,81.105,89.539,90.976,91.053,7.603,18.681,21.176,24.544,24.798,26.0,51.624,58.621,66.667,64.286,66.667,59.091,63.636,60.0,63.636,1.274
CO,84.615,40.0,-0.852,47.857,42.236,40.764,47.799,5.181,60.377,56.667,23.861,21.715,19.602,-1.013,39.387,32.125,39.862,-0.465,21.377,37.389,27.206,27.223,-2.21,1.47,65.306,57.738,61.919,65.476,61.155,68.675,61.24,1.421,82.5,69.231,75.0,61.111,80.769,60.714,62.069,67.742,0.069,76.596,76.0,73.333,82.051,69.444,67.647,64.516,64.0,0.208,77.778,68.421,72.727,70.968,75.0,55.0,60.0,60.0,0.184,28.354,43.28,39.626,31.606,19.783,19.167,0.492,25.824,22.118,25.558,26.613,26.6,34.891,51.724,53.333,53.571,53.333,36.364,45.455,40.0,54.545,1.307
CT,38.462,76.0,7.964,21.429,23.602,14.013,13.208,-5.718,92.453,66.667,70.739,67.891,68.869,2.537,81.787,72.207,85.372,1.849,13.043,32.047,24.081,24.682,-1.653,1.115,80.466,77.976,55.523,51.488,68.241,80.12,77.132,1.294,87.5,76.923,84.375,72.222,92.308,78.571,72.414,64.516,-0.122,76.596,68.0,77.778,69.231,55.556,61.765,58.065,68.0,0.258,86.111,76.316,78.788,64.516,58.333,45.0,50.0,65.0,0.064,28.509,87.682,98.975,77.793,75.294,76.624,9.434,7.143,3.765,3.854,4.637,4.6,15.72,82.759,86.667,85.714,86.667,81.818,81.818,85.0,86.364,0.843
DE,53.077,48.0,4.12,32.857,34.783,12.102,13.836,-9.182,60.377,33.333,55.282,44.687,36.605,-3.785,54.133,51.724,58.584,1.09,30.435,56.083,38.419,35.935,-0.513,0.246,51.603,47.917,50.581,52.679,45.669,53.012,36.822,1.153,87.5,71.795,75.0,66.667,76.923,60.714,48.276,45.161,-0.511,76.596,70.0,66.667,58.974,47.222,50.0,38.71,32.0,-0.203,80.556,73.684,60.606,58.065,58.333,40.0,35.0,45.0,-0.053,27.982,55.265,66.964,55.624,42.924,41.508,3.982,20.33,20.941,23.935,21.371,20.4,39.795,65.517,70.0,64.286,86.667,77.273,77.273,80.0,81.818,1.618
DC,63.846,56.0,2.961,0.0,0.0,0.0,0.0,0.0,90.566,0.0,92.035,42.271,36.937,-11.427,54.427,50.722,57.425,0.671,3.623,49.852,30.515,28.312,2.27,0.339,1.749,0.0,17.733,6.25,16.273,34.036,39.535,6.133,0.0,0.0,0.0,0.0,0.0,17.857,20.69,32.258,1.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.349,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,1.555,23.236,37.996,44.369,40.688,30.72,31.348,3.47,91.758,100.0,100.0,100.0,100.0,42.976,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.415
